question_id,question_text,correct_answer,option1,option2,option3,category_id,difficulty
1,Who did Steven Gerrard win the Champions League with?,Liverpool,Liverpool,Real Madrid,Chelsea,1,easy
2,What is the highest belt you can get in Taekwondo?,Black,Black,White,Red,1,medium
3,Josh Mansour is part of what NRL team?,Penrith Panthers,Melbourne Storm,Sydney Roosters,North Queensland Cowboys,1,medium
4,What cricketing term denotes a batsman being dismissed with a score of zero?,Duck,Bye,Beamer,Duck,1,medium
5,"Who is often called ""the Maestro"" in the men's tennis circuit?",Roger Federer,Bill Tilden,Roger Federer,Boris Becker,1,easy
6,Which city features all of their professional sports teams' jersey's with the same color scheme?,Pittsburgh,New York,Seattle,Tampa Bay,1,hard
7,"In what sport is a ""shuttlecock"" used?",Badminton,Table Tennis,Rugby,Badminton,1,easy
8,With which doubles partner did John McEnroe have most success?,Peter Fleming,Peter Fleming,Mark Woodforde,Michael Stich,1,hard
9,What team did England beat in the semi-final stage to win in the 1966 World Cup final?,Portugal,West Germany,Soviet Union,Portugal,1,hard
10,Which soccer team won the Copa América Centenario 2016?,Chile,Argentina,Brazil,Chile,1,medium
11,Which African American is in part responsible for integrating  Major League baseball?,Jackie Robinson,Curt Flood,Roy Campanella,Satchell Paige,1,easy
12,How many times did Martina Navratilova win the Wimbledon Singles Championship?,Nine,Ten,Nine,Seven,1,hard
13,What is “The Sport of Kings”?,Horse Racing,Chess,Horse Racing,Jousting,1,hard
14,Who won the 2016 Formula 1 World Driver's Championship?,Nico Rosberg,Lewis Hamilton,Nico Rosberg,Max Verstappen,1,easy
15,Where was the Games of the XXII Olympiad held?,Moscow,Barcelona,Moscow,Tokyo,1,hard
16,Who was the topscorer for England national football team?,Wayne Rooney,Wayne Rooney,David Beckham,Steven Gerrard,1,medium
17,Which year did Jenson Button won his first ever Formula One World Drivers' Championship?,2009,2010,2007,2009,1,easy
18,Who won the 2011 Stanley Cup?,Boston Bruins,Montreal Canadiens,New York Rangers,Toronto Maple Leafs,1,medium
19,Which driver has been the Formula 1 world champion for a record 7 times?,Michael Schumacher,Ayrton Senna,Fernando Alonso,Jim Clark,1,easy
20,Which of the following player scored a hat-trick during their Manchester United debut?,Wayne Rooney,Wayne Rooney,Cristiano Ronaldo,Robin Van Persie,1,medium
21,A stimpmeter measures the speed of a ball over what surface?,Golf Putting Green,Football Pitch,Golf Putting Green,Cricket Outfield,1,medium
22,The Los Angeles Dodgers were originally from what U.S. city?,Brooklyn,Las Vegas,Brooklyn,Boston,1,easy
23,Who won the premier league title in the 2015-2016 season following a fairy tale run?,Leicester City,Tottenham Hotspur,Leicester City,Watford,1,easy
